"","Langs","year","region","dataType","value"
"60","Tamil",2013,"alabama","speakers",665
"61","Burmese",2013,"alabama","speakers",220
"62","Mien",2013,"alabama","speakers",55
"63","Tagalog",2013,"alabama","speakers",3115
"64","Indonesian",2013,"alabama","speakers",425
"65","Bisayan",2013,"alabama","speakers",265
"66","Pangasinan",2013,"alabama","speakers",50
"67","Chamorro",2013,"alabama","speakers",70
"68","Marshallese",2013,"alabama","speakers",100
"69","Trukese",2013,"alabama","speakers",15
"70","Samoan",2013,"alabama","speakers",195
"71","Hawaiian",2013,"alabama","speakers",115
"72","Navajo",2013,"alabama","speakers",96
"73","Algonquian",2013,"alabama","speakers",20
"74","Kiowa",2013,"alabama","speakers",65
"75","Choctaw",2013,"alabama","speakers",90
"76","Koasati",2013,"alabama","speakers",25
"77","Cherokee",2013,"alabama","speakers",255
"78","American Indian",2013,"alabama","speakers",70
"79","Hungarian",2013,"alabama","speakers",145
"80","Arabic",2013,"alabama","speakers",4560
"81","Hebrew",2013,"alabama","speakers",410
"82","Amharic",2013,"alabama","speakers",230
"83","Cushite",2013,"alabama","speakers",20
"84","Swahili",2013,"alabama","speakers",1320
"85","Bantu",2013,"alabama","speakers",240
"86","Mande",2013,"alabama","speakers",140
"87","Fulani",2013,"alabama","speakers",120
"88","Kru, Ibo, Yoruba",2013,"alabama","speakers",1210
"89","Efik",2013,"alabama","speakers",30
"90","Finnish",2013,"alabama","speakers",95
"91","Estonian",2013,"alabama","speakers",40
"92","Oto - Manguen",2013,"alabama","speakers",205
"93","Uncodable",2013,"alabama","speakers",80
"94","Only English",2013,"alaska","speakers",557877
"95","Spanish",2013,"alaska","speakers",22425
"96","French",2013,"alaska","speakers",2165
"97","French Creole",2013,"alaska","speakers",120
"98","Italian",2013,"alaska","speakers",444
"99","Portuguese",2013,"alaska","speakers",270
"100","German",2013,"alaska","speakers",3660
"101","Dutch",2013,"alaska","speakers",205
"102","Afrikaans",2013,"alaska","speakers",45
"103","Swedish",2013,"alaska","speakers",200
"104","Danish",2013,"alaska","speakers",150
"105","Norwegian",2013,"alaska","speakers",365
"106","Greek",2013,"alaska","speakers",140
"107","Russian",2013,"alaska","speakers",4426
"108","Polish",2013,"alaska","speakers",426
"109","Ukrainian",2013,"alaska","speakers",610
"110","Czech",2013,"alaska","speakers",30
"111","Bulgarian",2013,"alaska","speakers",30
"112","Macedonian",2013,"alaska","speakers",215
"113","Armenian",2013,"alaska","speakers",3
"114","Persian",2013,"alaska","speakers",100
"115","Hindi",2013,"alaska","speakers",290
"116","Gujarati",2013,"alaska","speakers",123
"117","Urdu",2013,"alaska","speakers",272
"118","Bengali",2013,"alaska","speakers",110
"119","Panjabi",2013,"alaska","speakers",40
"120","Nepali",2013,"alaska","speakers",300
"121","Sinhalese",2013,"alaska","speakers",25
"122","Jamaican Creole",2013,"alaska","speakers",45
"123","Pidgin",2013,"alaska","speakers",115
"124","Romanian",2013,"alaska","speakers",85
"125","Irish Gaelic",2013,"alaska","speakers",100
"126","Albanian",2013,"alaska","speakers",135
"127","Lithuanian",2013,"alaska","speakers",30
"128","Latvian",2013,"alaska","speakers",50
"129","Chinese",2013,"alaska","speakers",1410
"130","Cantonese",2013,"alaska","speakers",80
"131","Mandarin",2013,"alaska","speakers",135
"132","Japanese",2013,"alaska","speakers",1752
"133","Korean",2013,"alaska","speakers",3937
"134","Mon-Khmer, Cambodian",2013,"alaska","speakers",205
"135","Hmong",2013,"alaska","speakers",3107
"136","Thai",2013,"alaska","speakers",1105
"137","Laotian",2013,"alaska","speakers",1469
"138","Vietnamese",2013,"alaska","speakers",1286
"139","Turkish",2013,"alaska","speakers",125
"140","Telugu",2013,"alaska","speakers",60
"141","Malayalam",2013,"alaska","speakers",30
"142","Tamil",2013,"alaska","speakers",35
"143","Mien",2013,"alaska","speakers",380
"144","Tagalog",2013,"alaska","speakers",14177
"145","Indonesian",2013,"alaska","speakers",65
"146","Malay",2013,"alaska","speakers",55
"147","Bisayan",2013,"alaska","speakers",390
"148","Sebuano",2013,"alaska","speakers",50
"149","Ilocano",2013,"alaska","speakers",980
"150","Bikol",2013,"alaska","speakers",4
"151","Pampangan",2013,"alaska","speakers",215
"152","Micronesian",2013,"alaska","speakers",60
"153","Chamorro",2013,"alaska","speakers",180
"154","Marshallese",2013,"alaska","speakers",10
"155","Palau",2013,"alaska","speakers",135
"156","Trukese",2013,"alaska","speakers",75
"157","Samoan",2013,"alaska","speakers",3555
"158","Tongan",2013,"alaska","speakers",380
"159","Hawaiian",2013,"alaska","speakers",235
"160","Navajo",2013,"alaska","speakers",133
"161","Aleut",2013,"alaska","speakers",620
"162","Pacific Gulf Yupik",2013,"alaska","speakers",70
"163","Eskimo",2013,"alaska","speakers",1160
"164","Inupik",2013,"alaska","speakers",6255
"165","St Lawrence Island Yupik",2013,"alaska","speakers",1030
"166","Yupik",2013,"alaska","speakers",19360
"167","Haida",2013,"alaska","speakers",110
"168","Athapascan",2013,"alaska","speakers",1175
"169","Ahtena",2013,"alaska","speakers",20
"170","Ingalit",2013,"alaska","speakers",4
"171","Koyukon",2013,"alaska","speakers",65
"172","Kuchin",2013,"alaska","speakers",450
"173","Tanaina",2013,"alaska","speakers",60
"174","Tlingit",2013,"alaska","speakers",1035
"175","Tsimshian",2013,"alaska","speakers",40
"176","Yuma",2013,"alaska","speakers",15
"177","Dakota",2013,"alaska","speakers",25
"178","Cherokee",2013,"alaska","speakers",50
"179","Hungarian",2013,"alaska","speakers",90
"180","Arabic",2013,"alaska","speakers",388
"181","Hebrew",2013,"alaska","speakers",241
"182","Amharic",2013,"alaska","speakers",180
"183","Cushite",2013,"alaska","speakers",370
"184","Sudanic",2013,"alaska","speakers",30
"185","Nilotic",2013,"alaska","speakers",155
"186","Swahili",2013,"alaska","speakers",85
"187","Fulani",2013,"alaska","speakers",310
"188","Kru, Ibo, Yoruba",2013,"alaska","speakers",260
"189","Finnish",2013,"alaska","speakers",170
"190","Uncodable",2013,"alaska","speakers",75
"191","Only English",2013,"arizona","speakers",4416957
"192","Spanish",2013,"arizona","speakers",1230730
"193","French",2013,"arizona","speakers",16480
"194","Patois",2013,"arizona","speakers",30
"195","French Creole",2013,"arizona","speakers",756
"196","Italian",2013,"arizona","speakers",7901
"197","Portuguese",2013,"arizona","speakers",4400
"198","German",2013,"arizona","speakers",23020
"199","Luxembourgian",2013,"arizona","speakers",40
"200","Yiddish",2013,"arizona","speakers",445
"201","Pennsylvania Dutch",2013,"arizona","speakers",45
"202","Dutch",2013,"arizona","speakers",2145
"203","Afrikaans",2013,"arizona","speakers",535
"204","Swedish",2013,"arizona","speakers",1220
"205","Danish",2013,"arizona","speakers",445
"206","Norwegian",2013,"arizona","speakers",865
"207","Icelandic",2013,"arizona","speakers",30
"208","Greek",2013,"arizona","speakers",3043
"209","Russian",2013,"arizona","speakers",6602
"210","Polish",2013,"arizona","speakers",5844
"211","Serbocroatian",2013,"arizona","speakers",4960
"212","Croatian",2013,"arizona","speakers",810
"213","Serbian",2013,"arizona","speakers",2600
"214","Ukrainian",2013,"arizona","speakers",1375
"215","Czech",2013,"arizona","speakers",905
"216","Slovak",2013,"arizona","speakers",520
"217","Bulgarian",2013,"arizona","speakers",1110
"218","Macedonian",2013,"arizona","speakers",115
"219","Slovene",2013,"arizona","speakers",110
"220","Armenian",2013,"arizona","speakers",1385
"221","Persian",2013,"arizona","speakers",6111
"222","Hindi",2013,"arizona","speakers",8474
"223","Gujarati",2013,"arizona","speakers",3824
"224","Urdu",2013,"arizona","speakers",2380
"225","India nec3",2013,"arizona","speakers",455
"226","Bengali",2013,"arizona","speakers",2185
"227","Panjabi",2013,"arizona","speakers",2285
"228","Marathi",2013,"arizona","speakers",1000
"229","Bihari",2013,"arizona","speakers",45
"230","Oriya",2013,"arizona","speakers",75
"231","Assamese",2013,"arizona","speakers",70
"232","Nepali",2013,"arizona","speakers",1085
"233","Sinhalese",2013,"arizona","speakers",125
"234","Jamaican Creole",2013,"arizona","speakers",190
"235","Krio",2013,"arizona","speakers",40
"236","Romanian",2013,"arizona","speakers",4210
"237","Irish Gaelic",2013,"arizona","speakers",495
"238","Albanian",2013,"arizona","speakers",1000
"239","Lithuanian",2013,"arizona","speakers",400
"240","Latvian",2013,"arizona","speakers",115
"241","Pashto",2013,"arizona","speakers",325
"242","Kurdish",2013,"arizona","speakers",495
"243","Chinese",2013,"arizona","speakers",19765
"244","Cantonese",2013,"arizona","speakers",3045
"245","Mandarin",2013,"arizona","speakers",5135
"246","Formosan",2013,"arizona","speakers",595
"247","Japanese",2013,"arizona","speakers",6237
"248","Korean",2013,"arizona","speakers",10733
"249","Mon-Khmer, Cambodian",2013,"arizona","speakers",2055
"250","Hmong",2013,"arizona","speakers",234
"251","Thai",2013,"arizona","speakers",2492
"252","Laotian",2013,"arizona","speakers",1397
"253","Vietnamese",2013,"arizona","speakers",20608
"254","Kazakh",2013,"arizona","speakers",160
"255","Kirghiz",2013,"arizona","speakers",25
"256","Uighur",2013,"arizona","speakers",175
"257","Turkish",2013,"arizona","speakers",1030
"258","Mongolian",2013,"arizona","speakers",60
"259","Telugu",2013,"arizona","speakers",4725
"260","Kannada",2013,"arizona","speakers",560
"261","Malayalam",2013,"arizona","speakers",1465
"262","Tamil",2013,"arizona","speakers",3205
"263","Tibetan",2013,"arizona","speakers",85
"264","Burmese",2013,"arizona","speakers",665
"265","Karen",2013,"arizona","speakers",1290
"266","Tagalog",2013,"arizona","speakers",20664
"267","Indonesian",2013,"arizona","speakers",965
"268","Malay",2013,"arizona","speakers",250
"269","Bisayan",2013,"arizona","speakers",435
"270","Sebuano",2013,"arizona","speakers",400
"271","Ilocano",2013,"arizona","speakers",530
"272","Pampangan",2013,"arizona","speakers",85
"273","Carolinian",2013,"arizona","speakers",185
"274","Chamorro",2013,"arizona","speakers",605
"275","Marshallese",2013,"arizona","speakers",685
"276","Palau",2013,"arizona","speakers",155
"277","Trukese",2013,"arizona","speakers",75
"278","Melanesian",2013,"arizona","speakers",125
"279","Samoan",2013,"arizona","speakers",1220
"280","Tongan",2013,"arizona","speakers",790
"281","Fijian",2013,"arizona","speakers",30
"282","Hawaiian",2013,"arizona","speakers",440
"283","Navajo",2013,"arizona","speakers",83792
"284","Aleut",2013,"arizona","speakers",40
"285","Cheyenne",2013,"arizona","speakers",35
"286","Ojibwa",2013,"arizona","speakers",25
"287","Ottawa",2013,"arizona","speakers",20
"288","Athapascan",2013,"arizona","speakers",20
"289","Apache",2013,"arizona","speakers",10700
"290","Cocomaricopa",2013,"arizona","speakers",30
"291","Mohave",2013,"arizona","speakers",90
"292","Yuma",2013,"arizona","speakers",30
"293","Delta River Yuman",2013,"arizona","speakers",325
"294","Havasupai",2013,"arizona","speakers",50
"295","Walapai",2013,"arizona","speakers",250
"296","Yavapai",2013,"arizona","speakers",210
"297","Dakota",2013,"arizona","speakers",300
"298","Omaha",2013,"arizona","speakers",45
"299","Choctaw",2013,"arizona","speakers",45
"300","Keres",2013,"arizona","speakers",155
"301","Cherokee",2013,"arizona","speakers",150
"302","Paiute",2013,"arizona","speakers",40
"303","Hopi",2013,"arizona","speakers",5660
"304","Pima",2013,"arizona","speakers",6695
"305","Yaqui",2013,"arizona","speakers",585
"306","Tewa",2013,"arizona","speakers",155
"307","Zuni",2013,"arizona","speakers",160
"308","American Indian",2013,"arizona","speakers",515
"309","San Carlos",2013,"arizona","speakers",275
"310","Hungarian",2013,"arizona","speakers",1499
"311","Arabic",2013,"arizona","speakers",16865
"312","Hebrew",2013,"arizona","speakers",2705
"313","Amharic",2013,"arizona","speakers",2180
"314","Berber",2013,"arizona","speakers",35
"315","Chadic",2013,"arizona","speakers",100
"316","Cushite",2013,"arizona","speakers",2285
"317","Sudanic",2013,"arizona","speakers",425
"318","Nilotic",2013,"arizona","speakers",125
"319","Swahili",2013,"arizona","speakers",1570
"320","Bantu",2013,"arizona","speakers",1290
"321","Mande",2013,"arizona","speakers",385
"322","Fulani",2013,"arizona","speakers",250
"323","Kru, Ibo, Yoruba",2013,"arizona","speakers",2500
"324","Efik",2013,"arizona","speakers",135
"325","African",2013,"arizona","speakers",225
"326","Finnish",2013,"arizona","speakers",490
"327","Caucasian",2013,"arizona","speakers",55
"328","Syriac",2013,"arizona","speakers",4215
"329","Aztecan",2013,"arizona","speakers",25
"330","Oto - Manguen",2013,"arizona","speakers",135
"331","Chibchan",2013,"arizona","speakers",60
"332","Uncodable",2013,"arizona","speakers",205
"333","Only English",2013,"arkansas","speakers",2540974
"334","Spanish",2013,"arkansas","speakers",143540
"335","French",2013,"arkansas","speakers",4260
"336","Cajun",2013,"arkansas","speakers",60
"337","French Creole",2013,"arkansas","speakers",93
"338","Italian",2013,"arkansas","speakers",963
"339","Portuguese",2013,"arkansas","speakers",1050
"340","German",2013,"arkansas","speakers",5475
"341","Pennsylvania Dutch",2013,"arkansas","speakers",560
"342","Dutch",2013,"arkansas","speakers",890
"343","Afrikaans",2013,"arkansas","speakers",135
"344","Swedish",2013,"arkansas","speakers",130
"345","Norwegian",2013,"arkansas","speakers",60
"346","Greek",2013,"arkansas","speakers",144
"347","Russian",2013,"arkansas","speakers",515
"348","Polish",2013,"arkansas","speakers",315
"349","Serbian",2013,"arkansas","speakers",200
"350","Ukrainian",2013,"arkansas","speakers",70
"351","Czech",2013,"arkansas","speakers",185
"352","Bulgarian",2013,"arkansas","speakers",305
"353","Armenian",2013,"arkansas","speakers",100
"354","Persian",2013,"arkansas","speakers",519
"355","Hindi",2013,"arkansas","speakers",1413
"356","Gujarati",2013,"arkansas","speakers",917
"357","Urdu",2013,"arkansas","speakers",628
"358","India nec3",2013,"arkansas","speakers",675
"359","Bengali",2013,"arkansas","speakers",230
"360","Panjabi",2013,"arkansas","speakers",180
"361","Marathi",2013,"arkansas","speakers",435
"362","Nepali",2013,"arkansas","speakers",320
"363","Sindhi",2013,"arkansas","speakers",55
"364","Sinhalese",2013,"arkansas","speakers",160
"365","Romanian",2013,"arkansas","speakers",345
"366","Irish Gaelic",2013,"arkansas","speakers",65
"367","Albanian",2013,"arkansas","speakers",45
"368","Lithuanian",2013,"arkansas","speakers",35
"369","Chinese",2013,"arkansas","speakers",3320
"370","Cantonese",2013,"arkansas","speakers",155
"371","Mandarin",2013,"arkansas","speakers",560
"372","Formosan",2013,"arkansas","speakers",85
"373","Japanese",2013,"arkansas","speakers",942
"374","Korean",2013,"arkansas","speakers",1591
"375","Mon-Khmer, Cambodian",2013,"arkansas","speakers",273
"376","Hmong",2013,"arkansas","speakers",1584
"377","Thai",2013,"arkansas","speakers",438
"378","Laotian",2013,"arkansas","speakers",3429
"379","Vietnamese",2013,"arkansas","speakers",4589
"380","Uighur",2013,"arkansas","speakers",170
"381","Turkish",2013,"arkansas","speakers",315
"382","Telugu",2013,"arkansas","speakers",905
"383","Kannada",2013,"arkansas","speakers",220
"384","Malayalam",2013,"arkansas","speakers",135
"385","Tamil",2013,"arkansas","speakers",550
"386","Tagalog",2013,"arkansas","speakers",2901
"387","Indonesian",2013,"arkansas","speakers",370
"388","Bisayan",2013,"arkansas","speakers",110
"389","Ilocano",2013,"arkansas","speakers",55
"390","Marshallese",2013,"arkansas","speakers",3845
"391","Melanesian",2013,"arkansas","speakers",70
"392","Hawaiian",2013,"arkansas","speakers",65
"393","Navajo",2013,"arkansas","speakers",20
"394","Algonquian",2013,"arkansas","speakers",40
"395","Ojibwa",2013,"arkansas","speakers",305
"396","Choctaw",2013,"arkansas","speakers",105
"397","Cherokee",2013,"arkansas","speakers",240
"398","American Indian",2013,"arkansas","speakers",80
"399","Hungarian",2013,"arkansas","speakers",94
"400","Arabic",2013,"arkansas","speakers",2704
"401","Hebrew",2013,"arkansas","speakers",25
"402","Amharic",2013,"arkansas","speakers",75
"403","Berber",2013,"arkansas","speakers",45
"404","Swahili",2013,"arkansas","speakers",215
"405","Bantu",2013,"arkansas","speakers",165
"406","Kru, Ibo, Yoruba",2013,"arkansas","speakers",260
"407","Basque",2013,"arkansas","speakers",180
"408","Syriac",2013,"arkansas","speakers",125
"409","Uncodable",2013,"arkansas","speakers",135
"410","Only English",2013,"california","speakers",19782598
"411","Spanish",2013,"california","speakers",10105385
"412","Ladino",2013,"california","speakers",40
"413","French",2013,"california","speakers",124980
"414","Patois",2013,"california","speakers",985
"415","Cajun",2013,"california","speakers",120
"416","French Creole",2013,"california","speakers",6718
"417","Italian",2013,"california","speakers",62621
"418","Portuguese",2013,"california","speakers",79550
"419","German",2013,"california","speakers",110545
"420","Luxembourgian",2013,"california","speakers",30
"421","Yiddish",2013,"california","speakers",3272
"422","Pennsylvania Dutch",2013,"california","speakers",25
"423","Dutch",2013,"california","speakers",22335
"424","Afrikaans",2013,"california","speakers",3075
"425","Frisian",2013,"california","speakers",225
"426","Swedish",2013,"california","speakers",11690
"427","Danish",2013,"california","speakers",6275
"428","Norwegian",2013,"california","speakers",4915
"429","Icelandic",2013,"california","speakers",980
"430","Greek",2013,"california","speakers",22932
"431","Russian",2013,"california","speakers",151685
"432","Polish",2013,"california","speakers",19699
"433","Serbocroatian",2013,"california","speakers",7285
"434","Croatian",2013,"california","speakers",7995
"435","Serbian",2013,"california","speakers",7470
"436","Bielorussian",2013,"california","speakers",255
"437","Ukrainian",2013,"california","speakers",17635
"438","Czech",2013,"california","speakers",5490
"439","Slovak",2013,"california","speakers",1790
"440","Bulgarian",2013,"california","speakers",7755
"441","Macedonian",2013,"california","speakers",655
"442","Slovene",2013,"california","speakers",360
"443","Armenian",2013,"california","speakers",191928
"444","Persian",2013,"california","speakers",191138
"445","Hindi",2013,"california","speakers",149301
"446","Gujarati",2013,"california","speakers",44917
"447","Urdu",2013,"california","speakers",45609
"448","India nec3",2013,"california","speakers",7915
"449","Bengali",2013,"california","speakers",22790
"450","Panjabi",2013,"california","speakers",118870
"451","Marathi",2013,"california","speakers",15450
"452","Rajasthani",2013,"california","speakers",45
"453","Oriya",2013,"california","speakers",680
"454","Assamese",2013,"california","speakers",190
"455","Kashmiri",2013,"california","speakers",445
"456","Nepali",2013,"california","speakers",7165
"457","Sindhi",2013,"california","speakers",1505
"458","Pakistan nec3",2013,"california","speakers",1570
"459","Sinhalese",2013,"california","speakers",7290
"460","Romany",2013,"california","speakers",255
"461","Jamaican Creole",2013,"california","speakers",1220
"462","Krio",2013,"california","speakers",680
"463","Pidgin",2013,"california","speakers",305
"464","Catalonian",2013,"california","speakers",345
"465","Romanian",2013,"california","speakers",25075
"466","Welsh",2013,"california","speakers",170
"467","Irish Gaelic",2013,"california","speakers",2575
"468","Scottic Gaelic",2013,"california","speakers",115
"469","Albanian",2013,"california","speakers",2185
"470","Lithuanian",2013,"california","speakers",3090
"471","Latvian",2013,"california","speakers",1740
"472","Pashto",2013,"california","speakers",6785
"473","Kurdish",2013,"california","speakers",2325
"474","Balochi",2013,"california","speakers",110
"475","Chinese",2013,"california","speakers",574075
"476","Hakka",2013,"california","speakers",285
"477","Cantonese",2013,"california","speakers",234775
"478","Mandarin",2013,"california","speakers",213840
"479","Fuchow",2013,"california","speakers",95
"480","Formosan",2013,"california","speakers",34350
"481","Wu",2013,"california","speakers",815
"482","Japanese",2013,"california","speakers",140575
"483","Korean",2013,"california","speakers",372742
"484","Mon-Khmer, Cambodian",2013,"california","speakers",79882
"485","Hmong",2013,"california","speakers",76789
"486","Thai",2013,"california","speakers",46434
"487","Laotian",2013,"california","speakers",36849
"488","Vietnamese",2013,"california","speakers",521534
"489","Kazakh",2013,"california","speakers",300
"490","Kirghiz",2013,"california","speakers",150
"491","Karachay",2013,"california","speakers",15
"492","Uighur",2013,"california","speakers",1230
"493","Azerbaijani",2013,"california","speakers",280
"494","Turkish",2013,"california","speakers",13370
"495","Mongolian",2013,"california","speakers",2895
"496","Dravidian",2013,"california","speakers",310
"497","Gondi",2013,"california","speakers",160
"498","Telugu",2013,"california","speakers",39870
"499","Kannada",2013,"california","speakers",10530
"500","Malayalam",2013,"california","speakers",11955
"501","Tamil",2013,"california","speakers",39655
"502","Munda",2013,"california","speakers",205
"503","Tibetan",2013,"california","speakers",1850
"504","Burmese",2013,"california","speakers",16590
"505","Karen",2013,"california","speakers",1160
"506","Kachin",2013,"california","speakers",20
"507","Mien",2013,"california","speakers",15355
"508","Tagalog",2013,"california","speakers",764743
"509","Indonesian",2013,"california","speakers",27585
"510","Cham",2013,"california","speakers",280
"511","Javanese",2013,"california","speakers",165
"512","Malay",2013,"california","speakers",2415
"513","Bisayan",2013,"california","speakers",11150
"514","Sebuano",2013,"california","speakers",4310
"515","Pangasinan",2013,"california","speakers",1520
"516","Ilocano",2013,"california","speakers",19495
"517","Bikol",2013,"california","speakers",255
"518","Pampangan",2013,"california","speakers",2915
"519","Micronesian",2013,"california","speakers",105
"520","Chamorro",2013,"california","speakers",5860
"521","Gilbertese",2013,"california","speakers",100
"522","Kusaiean",2013,"california","speakers",105
"523","Marshallese",2013,"california","speakers",950
"524","Palau",2013,"california","speakers",630
"525","Ponapean",2013,"california","speakers",220
"526","Trukese",2013,"california","speakers",135
"527","Melanesian",2013,"california","speakers",130
"528","Polynesian",2013,"california","speakers",200
"529","Samoan",2013,"california","speakers",21230
"530","Tongan",2013,"california","speakers",15150
"531","Fijian",2013,"california","speakers",4350
"532","Maori",2013,"california","speakers",80
"533","Hawaiian",2013,"california","speakers",1705
"534","Navajo",2013,"california","speakers",1401
"535","Aleut",2013,"california","speakers",35
"536","Eskimo",2013,"california","speakers",20
"537","Inupik",2013,"california","speakers",65
"538","Algonquian",2013,"california","speakers",40
"539","Cheyenne",2013,"california","speakers",65
"540","Cree",2013,"california","speakers",95
"541","Ojibwa",2013,"california","speakers",130
"542","Ottawa",2013,"california","speakers",35
"543","Yurok",2013,"california","speakers",345
"544","Salish",2013,"california","speakers",15
"545","Kuchin",2013,"california","speakers",40
"546","Hupa",2013,"california","speakers",65
"547","Other Athapascan-Eyak",2013,"california","speakers",25
"548","Apache",2013,"california","speakers",160
"549","Mountain Maidu",2013,"california","speakers",195
"550","Sierra Miwok",2013,"california","speakers",155
"551","Patwin",2013,"california","speakers",4
"552","Wintun",2013,"california","speakers",95
"553","Foothill North Yokuts",2013,"california","speakers",60
"554","Karok",2013,"california","speakers",330
"555","Pomo",2013,"california","speakers",270
"556","Washo",2013,"california","speakers",65
"557","Mohave",2013,"california","speakers",50
"558","Yuma",2013,"california","speakers",110
"559","Diegueno",2013,"california","speakers",170
"560","Tonkawa",2013,"california","speakers",15
"561","Dakota",2013,"california","speakers",385
"562","Ponca",2013,"california","speakers",85
"563","Choctaw",2013,"california","speakers",135
"564","Muskogee",2013,"california","speakers",80
"565","Keres",2013,"california","speakers",180
"566","Iroquois",2013,"california","speakers",75
"567","Seneca",2013,"california","speakers",30
"568","Cherokee",2013,"california","speakers",560
"569","Comanche",2013,"california","speakers",65
"570","Mono",2013,"california","speakers",60
"571","Paiute",2013,"california","speakers",170
"572","Shoshoni",2013,"california","speakers",45
"573","Hopi",2013,"california","speakers",205
"574","Cahuilla",2013,"california","speakers",60
"575","Cupeno",2013,"california","speakers",10
"576","Luiseno",2013,"california","speakers",75
"577","Pima",2013,"california","speakers",85
"578","Picuris",2013,"california","speakers",155
"579","American Indian",2013,"california","speakers",425
"580","Hungarian",2013,"california","speakers",13236
"581","Arabic",2013,"california","speakers",153635
"582","Hebrew",2013,"california","speakers",41311
"583","Amharic",2013,"california","speakers",27440
"584","Berber",2013,"california","speakers",560
"585","Chadic",2013,"california","speakers",215
"586","Cushite",2013,"california","speakers",7290
"587","Sudanic",2013,"california","speakers",325
"588","Nilotic",2013,"california","speakers",380
"589","Saharan",2013,"california","speakers",80
"590","Swahili",2013,"california","speakers",6535
"591","Bantu",2013,"california","speakers",5085
"592","Mande",2013,"california","speakers",415
"593","Fulani",2013,"california","speakers",705
"594","Gur",2013,"california","speakers",230
"595","Kru, Ibo, Yoruba",2013,"california","speakers",20650
"596","Efik",2013,"california","speakers",460
"597","African",2013,"california","speakers",975
"598","Finnish",2013,"california","speakers",3545
"599","Estonian",2013,"california","speakers",700
"600","Caucasian",2013,"california","speakers",705
"601","Basque",2013,"california","speakers",695
"602","Syriac",2013,"california","speakers",27725
"603","Aztecan",2013,"california","speakers",195
"604","Misumalpan",2013,"california","speakers",35
"605","Oto - Manguen",2013,"california","speakers",2505
"606","Quechua",2013,"california","speakers",230
"607","Arawakian",2013,"california","speakers",575
"608","Tupi-Guarani",2013,"california","speakers",40
"609","Uncodable",2013,"california","speakers",255
"610","Only English",2013,"colorado","speakers",3976875
"611","Spanish",2013,"colorado","speakers",565060
"612","French",2013,"colorado","speakers",16045
"613","Patois",2013,"colorado","speakers",165
"614","French Creole",2013,"colorado","speakers",382
"615","Italian",2013,"colorado","speakers",5767
"616","Portuguese",2013,"colorado","speakers",3360
"617","German",2013,"colorado","speakers",25645
"618","Yiddish",2013,"colorado","speakers",135
"619","Pennsylvania Dutch",2013,"colorado","speakers",330
"620","Dutch",2013,"colorado","speakers",2065
"621","Afrikaans",2013,"colorado","speakers",880
