"","X","Langs","region","dataType","value"
"125",125,"Norwegian",6013,"speakers",195
"126",126,"Icelandic",6013,"speakers",60
"127",127,"Greek",6013,"speakers",624
"128",128,"Russian",6013,"speakers",5346
"129",129,"Polish",6013,"speakers",710
"130",130,"Serbocroatian",6013,"speakers",220
"131",131,"Croatian",6013,"speakers",115
"132",132,"Serbian",6013,"speakers",140
"133",133,"Ukrainian",6013,"speakers",360
"134",134,"Czech",6013,"speakers",195
"135",135,"Slovak",6013,"speakers",55
"136",136,"Bulgarian",6013,"speakers",665
"137",137,"Slovene",6013,"speakers",20
"138",138,"Armenian",6013,"speakers",754
"139",139,"Persian",6013,"speakers",9688
"140",140,"Hindi",6013,"speakers",5650
"141",141,"Gujarati",6013,"speakers",1007
"142",142,"Urdu",6013,"speakers",1840
"143",143,"India nec3",6013,"speakers",220
"144",144,"Bengali",6013,"speakers",525
"145",145,"Panjabi",6013,"speakers",5660
"146",146,"Marathi",6013,"speakers",685
"147",147,"Nepali",6013,"speakers",620
"148",148,"Sindhi",6013,"speakers",40
"149",149,"Pakistan nec3",6013,"speakers",15
"150",150,"Sinhalese",6013,"speakers",150
"151",151,"Romanian",6013,"speakers",390
"152",152,"Irish Gaelic",6013,"speakers",75
"153",153,"Lithuanian",6013,"speakers",85
"154",154,"Latvian",6013,"speakers",85
"155",155,"Pashto",6013,"speakers",390
"156",156,"Chinese",6013,"speakers",17545
"157",157,"Cantonese",6013,"speakers",7200
"158",158,"Mandarin",6013,"speakers",5860
"159",159,"Formosan",6013,"speakers",850
"160",160,"Japanese",6013,"speakers",2964
"161",161,"Korean",6013,"speakers",6861
"162",162,"Mon-Khmer, Cambodian",6013,"speakers",1035
"163",163,"Hmong",6013,"speakers",121
"164",164,"Thai",6013,"speakers",1065
"165",165,"Laotian",6013,"speakers",1243
"166",166,"Vietnamese",6013,"speakers",6182
"167",167,"Turkish",6013,"speakers",380
"168",168,"Mongolian",6013,"speakers",305
"169",169,"Gondi",6013,"speakers",70
"170",170,"Telugu",6013,"speakers",2340
"171",171,"Kannada",6013,"speakers",505
"172",172,"Malayalam",6013,"speakers",415
"173",173,"Tamil",6013,"speakers",2235
"174",174,"Tibetan",6013,"speakers",430
"175",175,"Burmese",6013,"speakers",305
"176",176,"Mien",6013,"speakers",2110
"177",177,"Tagalog",6013,"speakers",29532
"178",178,"Indonesian",6013,"speakers",975
"179",179,"Bisayan",6013,"speakers",220
"180",180,"Sebuano",6013,"speakers",110
"181",181,"Pangasinan",6013,"speakers",240
"182",182,"Ilocano",6013,"speakers",595
"183",183,"Pampangan",6013,"speakers",200
"184",184,"Chamorro",6013,"speakers",145
"185",185,"Samoan",6013,"speakers",375
"186",186,"Tongan",6013,"speakers",1135
"187",187,"Fijian",6013,"speakers",160
"188",188,"Navajo",6013,"speakers",73
"189",189,"American Indian",6013,"speakers",20
"190",190,"Hungarian",6013,"speakers",577
"191",191,"Arabic",6013,"speakers",4668
"192",192,"Hebrew",6013,"speakers",890
"193",193,"Amharic",6013,"speakers",1040
"194",194,"Berber",6013,"speakers",245
"195",195,"Chadic",6013,"speakers",70
"196",196,"Swahili",6013,"speakers",445
"197",197,"Bantu",6013,"speakers",265
"198",198,"Kru, Ibo, Yoruba",6013,"speakers",1045
"199",199,"African",6013,"speakers",255
"200",200,"Finnish",6013,"speakers",170
"201",201,"Syriac",6013,"speakers",180
"202",202,"Arawakian",6013,"speakers",30
"203",203,"Only English",6019,"speakers",484636
"204",204,"Spanish",6019,"speakers",286750
"205",205,"French",6019,"speakers",855
"206",206,"French Creole",6019,"speakers",84
"207",207,"Italian",6019,"speakers",857
"208",208,"Portuguese",6019,"speakers",1150
"209",209,"German",6019,"speakers",1765
"210",210,"Yiddish",6019,"speakers",19
"211",211,"Dutch",6019,"speakers",325
"212",212,"Afrikaans",6019,"speakers",90
"213",213,"Swedish",6019,"speakers",175
"214",214,"Danish",6019,"speakers",180
"215",215,"Norwegian",6019,"speakers",80
"216",216,"Greek",6019,"speakers",398
"217",217,"Russian",6019,"speakers",1459
"218",218,"Polish",6019,"speakers",44
"219",219,"Serbian",6019,"speakers",35
"220",220,"Ukrainian",6019,"speakers",585
"221",221,"Czech",6019,"speakers",70
"222",222,"Bulgarian",6019,"speakers",65
"223",223,"Armenian",6019,"speakers",4083
"224",224,"Persian",6019,"speakers",1069
"225",225,"Hindi",6019,"speakers",1290
"226",226,"Gujarati",6019,"speakers",378
"227",227,"Urdu",6019,"speakers",524
"228",228,"India nec3",6019,"speakers",315
"229",229,"Bengali",6019,"speakers",150
"230",230,"Panjabi",6019,"speakers",11620
"231",231,"Marathi",6019,"speakers",50
"232",232,"Sinhalese",6019,"speakers",85
"233",233,"Romany",6019,"speakers",100
"234",234,"Romanian",6019,"speakers",85
"235",235,"Lithuanian",6019,"speakers",45
"236",236,"Chinese",6019,"speakers",3195
"237",237,"Cantonese",6019,"speakers",565
"238",238,"Mandarin",6019,"speakers",1000
"239",239,"Formosan",6019,"speakers",250
"240",240,"Japanese",6019,"speakers",1520
"241",241,"Korean",6019,"speakers",1655
"242",242,"Mon-Khmer, Cambodian",6019,"speakers",4520
"243",243,"Hmong",6019,"speakers",24576
"244",244,"Thai",6019,"speakers",789
"245",245,"Laotian",6019,"speakers",6797
"246",246,"Vietnamese",6019,"speakers",2912
"247",247,"Turkish",6019,"speakers",195
"248",248,"Telugu",6019,"speakers",175
"249",249,"Malayalam",6019,"speakers",55
"250",250,"Tamil",6019,"speakers",200
"251",251,"Tibetan",6019,"speakers",25
"252",252,"Burmese",6019,"speakers",100
"253",253,"Mien",6019,"speakers",145
"254",254,"Tagalog",6019,"speakers",5452
"255",255,"Indonesian",6019,"speakers",215
"256",256,"Malay",6019,"speakers",95
"257",257,"Bisayan",6019,"speakers",50
"258",258,"Sebuano",6019,"speakers",50
"259",259,"Ilocano",6019,"speakers",230
"260",260,"Trukese",6019,"speakers",60
"261",261,"Samoan",6019,"speakers",310
"262",262,"Tongan",6019,"speakers",225
"263",263,"Navajo",6019,"speakers",20
"264",264,"Cherokee",6019,"speakers",30
"265",265,"Mono",6019,"speakers",20
"266",266,"Hungarian",6019,"speakers",103
"267",267,"Arabic",6019,"speakers",3612
"268",268,"Hebrew",6019,"speakers",84
"269",269,"Amharic",6019,"speakers",200
"270",270,"Swahili",6019,"speakers",45
"271",271,"Bantu",6019,"speakers",45
"272",272,"Kru, Ibo, Yoruba",6019,"speakers",345
"273",273,"Syriac",6019,"speakers",45
"274",274,"Oto - Manguen",6019,"speakers",170
"275",275,"Only English",6029,"speakers",448868
"276",276,"Spanish",6029,"speakers",289910
"277",277,"French",6029,"speakers",920
"278",278,"Patois",6029,"speakers",50
"279",279,"French Creole",6029,"speakers",89
"280",280,"Italian",6029,"speakers",635
"281",281,"Portuguese",6029,"speakers",190
"282",282,"German",6029,"speakers",1100
"283",283,"Yiddish",6029,"speakers",20
"284",284,"Dutch",6029,"speakers",120
"285",285,"Swedish",6029,"speakers",40
"286",286,"Danish",6029,"speakers",70
"287",287,"Greek",6029,"speakers",65
"288",288,"Russian",6029,"speakers",585
"289",289,"Polish",6029,"speakers",63
"290",290,"Croatian",6029,"speakers",45
"291",291,"Ukrainian",6029,"speakers",40
"292",292,"Bulgarian",6029,"speakers",45
"293",293,"Armenian",6029,"speakers",182
"294",294,"Persian",6029,"speakers",484
"295",295,"Hindi",6029,"speakers",610
"296",296,"Gujarati",6029,"speakers",635
"297",297,"Urdu",6029,"speakers",72
"298",298,"India nec3",6029,"speakers",150
"299",299,"Bengali",6029,"speakers",195
"300",300,"Panjabi",6029,"speakers",6340
"301",301,"Marathi",6029,"speakers",50
"302",302,"Sinhalese",6029,"speakers",70
"303",303,"Romanian",6029,"speakers",15
"304",304,"Chinese",6029,"speakers",870
"305",305,"Cantonese",6029,"speakers",460
"306",306,"Mandarin",6029,"speakers",300
"307",307,"Formosan",6029,"speakers",110
"308",308,"Japanese",6029,"speakers",775
"309",309,"Korean",6029,"speakers",1532
"310",310,"Mon-Khmer, Cambodian",6029,"speakers",531
"311",311,"Hmong",6029,"speakers",179
"312",312,"Thai",6029,"speakers",277
"313",313,"Laotian",6029,"speakers",175
"314",314,"Vietnamese",6029,"speakers",1146
"315",315,"Turkish",6029,"speakers",25
"316",316,"Telugu",6029,"speakers",155
"317",317,"Kannada",6029,"speakers",170
"318",318,"Malayalam",6029,"speakers",140
"319",319,"Tamil",6029,"speakers",100
"320",320,"Burmese",6029,"speakers",85
"321",321,"Karen",6029,"speakers",125
"322",322,"Tagalog",6029,"speakers",9261
"323",323,"Indonesian",6029,"speakers",170
"324",324,"Bisayan",6029,"speakers",290
"325",325,"Ilocano",6029,"speakers",1630
"326",326,"Pampangan",6029,"speakers",65
"327",327,"Chamorro",6029,"speakers",65
"328",328,"Marshallese",6029,"speakers",125
"329",329,"Samoan",6029,"speakers",80
"330",330,"Tongan",6029,"speakers",20
"331",331,"Navajo",6029,"speakers",38
"332",332,"Keres",6029,"speakers",65
"333",333,"Picuris",6029,"speakers",105
"334",334,"American Indian",6029,"speakers",15
"335",335,"Hungarian",6029,"speakers",178
"336",336,"Arabic",6029,"speakers",3064
"337",337,"Hebrew",6029,"speakers",102
"338",338,"Amharic",6029,"speakers",165
"339",339,"Swahili",6029,"speakers",70
"340",340,"Kru, Ibo, Yoruba",6029,"speakers",190
"341",341,"Efik",6029,"speakers",70
"342",342,"Finnish",6029,"speakers",55
"343",343,"Caucasian",6029,"speakers",10
"344",344,"Basque",6029,"speakers",110
"345",345,"Oto - Manguen",6029,"speakers",25
"346",346,"Only English",6037,"speakers",3991721
"347",347,"Spanish",6037,"speakers",3653910
"348",348,"French",6037,"speakers",38235
"349",349,"Patois",6037,"speakers",330
"350",350,"Cajun",6037,"speakers",65
"351",351,"French Creole",6037,"speakers",3092
"352",352,"Italian",6037,"speakers",16323
"353",353,"Portuguese",6037,"speakers",11555
"354",354,"German",6037,"speakers",23830
"355",355,"Yiddish",6037,"speakers",1747
"356",356,"Dutch",6037,"speakers",4710
"357",357,"Afrikaans",6037,"speakers",650
"358",358,"Swedish",6037,"speakers",2980
"359",359,"Danish",6037,"speakers",1180
"360",360,"Norwegian",6037,"speakers",940
"361",361,"Icelandic",6037,"speakers",160
"362",362,"Greek",6037,"speakers",6272
"363",363,"Russian",6037,"speakers",49310
"364",364,"Polish",6037,"speakers",5390
"365",365,"Serbocroatian",6037,"speakers",1200
"366",366,"Croatian",6037,"speakers",3750
"367",367,"Serbian",6037,"speakers",1705
"368",368,"Bielorussian",6037,"speakers",80
"369",369,"Ukrainian",6037,"speakers",1800
"370",370,"Czech",6037,"speakers",1415
"371",371,"Slovak",6037,"speakers",410
"372",372,"Bulgarian",6037,"speakers",2070
"373",373,"Macedonian",6037,"speakers",110
"374",374,"Slovene",6037,"speakers",145
"375",375,"Armenian",6037,"speakers",168485
"376",376,"Persian",6037,"speakers",72908
"377",377,"Hindi",6037,"speakers",21827
"378",378,"Gujarati",6037,"speakers",9568
"379",379,"Urdu",6037,"speakers",8717
"380",380,"India nec3",6037,"speakers",1570
"381",381,"Bengali",6037,"speakers",9465
"382",382,"Panjabi",6037,"speakers",8640
"383",383,"Marathi",6037,"speakers",1505
"384",384,"Oriya",6037,"speakers",200
"385",385,"Assamese",6037,"speakers",45
"386",386,"Kashmiri",6037,"speakers",115
"387",387,"Nepali",6037,"speakers",1770
"388",388,"Sindhi",6037,"speakers",255
"389",389,"Pakistan nec3",6037,"speakers",295
"390",390,"Sinhalese",6037,"speakers",4015
"391",391,"Jamaican Creole",6037,"speakers",655
"392",392,"Krio",6037,"speakers",35
"393",393,"Pidgin",6037,"speakers",55
"394",394,"Catalonian",6037,"speakers",80
"395",395,"Romanian",6037,"speakers",6280
"396",396,"Welsh",6037,"speakers",40
"397",397,"Irish Gaelic",6037,"speakers",360
"398",398,"Albanian",6037,"speakers",410
"399",399,"Lithuanian",6037,"speakers",1540
"400",400,"Latvian",6037,"speakers",510
"401",401,"Pashto",6037,"speakers",600
"402",402,"Kurdish",6037,"speakers",195
"403",403,"Balochi",6037,"speakers",90
"404",404,"Chinese",6037,"speakers",174385
"405",405,"Hakka",6037,"speakers",120
"406",406,"Cantonese",6037,"speakers",71100
"407",407,"Mandarin",6037,"speakers",89990
"408",408,"Formosan",6037,"speakers",14035
"409",409,"Wu",6037,"speakers",265
"410",410,"Japanese",6037,"speakers",51713
"411",411,"Korean",6037,"speakers",183007
"412",412,"Mon-Khmer, Cambodian",6037,"speakers",30112
"413",413,"Hmong",6037,"speakers",1140
"414",414,"Thai",6037,"speakers",21925
"415",415,"Laotian",6037,"speakers",2785
"416",416,"Vietnamese",6037,"speakers",80624
"417",417,"Kazakh",6037,"speakers",35
"418",418,"Uighur",6037,"speakers",120
"419",419,"Azerbaijani",6037,"speakers",165
"420",420,"Turkish",6037,"speakers",3740
"421",421,"Mongolian",6037,"speakers",1020
"422",422,"Dravidian",6037,"speakers",100
"423",423,"Telugu",6037,"speakers",4620
"424",424,"Kannada",6037,"speakers",1135
"425",425,"Malayalam",6037,"speakers",2635
"426",426,"Tamil",6037,"speakers",4875
"427",427,"Munda",6037,"speakers",80
"428",428,"Tibetan",6037,"speakers",120
"429",429,"Burmese",6037,"speakers",5435
"430",430,"Karen",6037,"speakers",30
"431",431,"Mien",6037,"speakers",170
"432",432,"Tagalog",6037,"speakers",227658
"433",433,"Indonesian",6037,"speakers",9565
"434",434,"Javanese",6037,"speakers",100
"435",435,"Malay",6037,"speakers",990
"436",436,"Bisayan",6037,"speakers",3160
"437",437,"Sebuano",6037,"speakers",960
"438",438,"Pangasinan",6037,"speakers",305
"439",439,"Ilocano",6037,"speakers",2575
"440",440,"Bikol",6037,"speakers",60
"441",441,"Pampangan",6037,"speakers",580
"442",442,"Chamorro",6037,"speakers",1160
"443",443,"Palau",6037,"speakers",110
"444",444,"Samoan",6037,"speakers",5955
"445",445,"Tongan",6037,"speakers",1765
"446",446,"Fijian",6037,"speakers",465
"447",447,"Maori",6037,"speakers",25
"448",448,"Hawaiian",6037,"speakers",345
"449",449,"Navajo",6037,"speakers",208
"450",450,"Cree",6037,"speakers",95
"451",451,"Ojibwa",6037,"speakers",40
"452",452,"Apache",6037,"speakers",20
"453",453,"Choctaw",6037,"speakers",55
"454",454,"Cherokee",6037,"speakers",50
"455",455,"Hopi",6037,"speakers",70
"456",456,"American Indian",6037,"speakers",80
"457",457,"Hungarian",6037,"speakers",5218
"458",458,"Arabic",6037,"speakers",43544
"459",459,"Hebrew",6037,"speakers",24845
"460",460,"Amharic",6037,"speakers",7845
"461",461,"Berber",6037,"speakers",50
"462",462,"Chadic",6037,"speakers",35
"463",463,"Cushite",6037,"speakers",160
"464",464,"Nilotic",6037,"speakers",45
"465",465,"Swahili",6037,"speakers",1365
"466",466,"Bantu",6037,"speakers",1490
"467",467,"Mande",6037,"speakers",190
"468",468,"Fulani",6037,"speakers",225
"469",469,"Kru, Ibo, Yoruba",6037,"speakers",8630
"470",470,"Efik",6037,"speakers",85
"471",471,"African",6037,"speakers",265
"472",472,"Finnish",6037,"speakers",970
"473",473,"Estonian",6037,"speakers",280
"474",474,"Caucasian",6037,"speakers",245
"475",475,"Basque",6037,"speakers",105
"476",476,"Syriac",6037,"speakers",2610
"477",477,"Aztecan",6037,"speakers",70
"478",478,"Misumalpan",6037,"speakers",35
"479",479,"Oto - Manguen",6037,"speakers",170
"480",480,"Quechua",6037,"speakers",80
"481",481,"Arawakian",6037,"speakers",450
"482",482,"Tupi-Guarani",6037,"speakers",30
"483",483,"Only English",6053,"speakers",183807
"484",484,"Spanish",6053,"speakers",177465
"485",485,"French",6053,"speakers",1115
"486",486,"French Creole",6053,"speakers",25
"487",487,"Italian",6053,"speakers",990
"488",488,"Portuguese",6053,"speakers",725
"489",489,"German",6053,"speakers",1560
"490",490,"Yiddish",6053,"speakers",32
"491",491,"Dutch",6053,"speakers",170
"492",492,"Swedish",6053,"speakers",45
"493",493,"Danish",6053,"speakers",60
"494",494,"Norwegian",6053,"speakers",75
"495",495,"Greek",6053,"speakers",202
"496",496,"Russian",6053,"speakers",420
"497",497,"Polish",6053,"speakers",231
"498",498,"Croatian",6053,"speakers",40
"499",499,"Serbian",6053,"speakers",60
"500",500,"Ukrainian",6053,"speakers",70
"501",501,"Czech",6053,"speakers",170
"502",502,"Armenian",6053,"speakers",7
"503",503,"Persian",6053,"speakers",309
"504",504,"Hindi",6053,"speakers",478
"505",505,"Gujarati",6053,"speakers",85
"506",506,"Urdu",6053,"speakers",191
"507",507,"India nec3",6053,"speakers",95
"508",508,"Bengali",6053,"speakers",55
"509",509,"Panjabi",6053,"speakers",285
"510",510,"Marathi",6053,"speakers",55
"511",511,"Nepali",6053,"speakers",105
"512",512,"Romanian",6053,"speakers",155
"513",513,"Albanian",6053,"speakers",50
"514",514,"Pashto",6053,"speakers",55
"515",515,"Chinese",6053,"speakers",1365
"516",516,"Cantonese",6053,"speakers",265
"517",517,"Mandarin",6053,"speakers",425
"518",518,"Formosan",6053,"speakers",60
"519",519,"Japanese",6053,"speakers",1358
"520",520,"Korean",6053,"speakers",1789
"521",521,"Mon-Khmer, Cambodian",6053,"speakers",142
"522",522,"Hmong",6053,"speakers",119
"523",523,"Thai",6053,"speakers",227
"524",524,"Laotian",6053,"speakers",21
"525",525,"Vietnamese",6053,"speakers",1674
"526",526,"Turkish",6053,"speakers",220
"527",527,"Telugu",6053,"speakers",130
"528",528,"Malayalam",6053,"speakers",45
"529",529,"Tamil",6053,"speakers",125
"530",530,"Burmese",6053,"speakers",20
"531",531,"Tagalog",6053,"speakers",6068
"532",532,"Indonesian",6053,"speakers",80
"533",533,"Bisayan",6053,"speakers",275
"534",534,"Sebuano",6053,"speakers",70
"535",535,"Pangasinan",6053,"speakers",35
"536",536,"Ilocano",6053,"speakers",300
"537",537,"Pampangan",6053,"speakers",65
"538",538,"Chamorro",6053,"speakers",295
"539",539,"Samoan",6053,"speakers",215
"540",540,"Tongan",6053,"speakers",125
"541",541,"Navajo",6053,"speakers",5
"542",542,"Choctaw",6053,"speakers",20
"543",543,"Arabic",6053,"speakers",1653
"544",544,"Hebrew",6053,"speakers",134
"545",545,"Amharic",6053,"speakers",20
"546",546,"Swahili",6053,"speakers",50
"547",547,"Kru, Ibo, Yoruba",6053,"speakers",25
"548",548,"Syriac",6053,"speakers",55
"549",549,"Oto - Manguen",6053,"speakers",515
"550",550,"Only English",6059,"speakers",1558350
"551",551,"Spanish",6059,"speakers",757660
"552",552,"French",6059,"speakers",8470
"553",553,"French Creole",6059,"speakers",13
"554",554,"Italian",6059,"speakers",3892
"555",555,"Portuguese",6059,"speakers",3780
"556",556,"German",6059,"speakers",8635
"557",557,"Yiddish",6059,"speakers",196
"558",558,"Dutch",6059,"speakers",2695
"559",559,"Afrikaans",6059,"speakers",315
"560",560,"Swedish",6059,"speakers",1220
"561",561,"Danish",6059,"speakers",445
"562",562,"Norwegian",6059,"speakers",340
"563",563,"Icelandic",6059,"speakers",50
"564",564,"Greek",6059,"speakers",2527
"565",565,"Russian",6059,"speakers",5757
"566",566,"Polish",6059,"speakers",1969
"567",567,"Serbocroatian",6059,"speakers",710
"568",568,"Croatian",6059,"speakers",520
"569",569,"Serbian",6059,"speakers",335
"570",570,"Ukrainian",6059,"speakers",615
"571",571,"Czech",6059,"speakers",675
"572",572,"Slovak",6059,"speakers",160
"573",573,"Bulgarian",6059,"speakers",590
"574",574,"Macedonian",6059,"speakers",80
"575",575,"Armenian",6059,"speakers",3623
"576",576,"Persian",6059,"speakers",30840
"577",577,"Hindi",6059,"speakers",10610
"578",578,"Gujarati",6059,"speakers",7366
"579",579,"Urdu",6059,"speakers",6064
"580",580,"India nec3",6059,"speakers",1295
"581",581,"Bengali",6059,"speakers",2160
"582",582,"Panjabi",6059,"speakers",3605
"583",583,"Marathi",6059,"speakers",1390
"584",584,"Assamese",6059,"speakers",65
"585",585,"Kashmiri",6059,"speakers",55
"586",586,"Nepali",6059,"speakers",235
"587",587,"Sindhi",6059,"speakers",270
"588",588,"Pakistan nec3",6059,"speakers",230
"589",589,"Sinhalese",6059,"speakers",1065
"590",590,"Romany",6059,"speakers",40
"591",591,"Catalonian",6059,"speakers",40
"592",592,"Romanian",6059,"speakers",3965
"593",593,"Irish Gaelic",6059,"speakers",140
"594",594,"Albanian",6059,"speakers",400
"595",595,"Lithuanian",6059,"speakers",375
"596",596,"Latvian",6059,"speakers",125
"597",597,"Pashto",6059,"speakers",1200
"598",598,"Kurdish",6059,"speakers",90
"599",599,"Chinese",6059,"speakers",38385
"600",600,"Cantonese",6059,"speakers",5580
"601",601,"Mandarin",6059,"speakers",16185
"602",602,"Formosan",6059,"speakers",5535
"603",603,"Wu",6059,"speakers",130
"604",604,"Japanese",6059,"speakers",15190
"605",605,"Korean",6059,"speakers",74889
"606",606,"Mon-Khmer, Cambodian",6059,"speakers",5698
"607",607,"Hmong",6059,"speakers",1469
"608",608,"Thai",6059,"speakers",3675
"609",609,"Laotian",6059,"speakers",2543
"610",610,"Vietnamese",6059,"speakers",165872
"611",611,"Azerbaijani",6059,"speakers",65
"612",612,"Turkish",6059,"speakers",1960
"613",613,"Mongolian",6059,"speakers",35
"614",614,"Telugu",6059,"speakers",2515
"615",615,"Kannada",6059,"speakers",235
"616",616,"Malayalam",6059,"speakers",815
"617",617,"Tamil",6059,"speakers",2760
"618",618,"Munda",6059,"speakers",60
"619",619,"Tibetan",6059,"speakers",125
"620",620,"Burmese",6059,"speakers",790
"621",621,"Mien",6059,"speakers",45
"622",622,"Tagalog",6059,"speakers",45151
"623",623,"Indonesian",6059,"speakers",3185
"624",624,"Cham",6059,"speakers",190
"625",625,"Malay",6059,"speakers",285
"626",626,"Bisayan",6059,"speakers",765
"627",627,"Sebuano",6059,"speakers",300
"628",628,"Pangasinan",6059,"speakers",30
"629",629,"Ilocano",6059,"speakers",415
"630",630,"Bikol",6059,"speakers",20
"631",631,"Pampangan",6059,"speakers",95
"632",632,"Chamorro",6059,"speakers",280
"633",633,"Marshallese",6059,"speakers",250
"634",634,"Melanesian",6059,"speakers",85
"635",635,"Samoan",6059,"speakers",1405
"636",636,"Tongan",6059,"speakers",1505
"637",637,"Fijian",6059,"speakers",100
"638",638,"Hawaiian",6059,"speakers",125
"639",639,"Navajo",6059,"speakers",54
